NAME,ALIAS,CREATION_DATE,ADDRESS,TYPE,WARD,SECTION,COMPOUND,OWNER,MANAGER,WEBSITE,FA_NUMBER,FA_TAG,DDM,DDM_TYPE,DDM_NAME,DDM_TEXT,DDM_PHOTO,CDBG,LWCF,WATER,MOWING,CORE_SERVICES,CartegraphID,ActBefore,City,ConditionGroup,County,CriticalityFactor,CurrentInspectionID,EstimatedCCI,EstimatedCCR,EstimatedOCI,EstimatedOCR,Installed,Jurisdiction,LocationDescription,Notes,PredictionGroup,Replaced,Retired,StateValue,Street,TotalCost,Acreage,Acreage_unit,ADACompliant,AddressNumber,Name1,OperationalDays,OperationalHours,Type1,CurrentInspectionDate,CurrentInspectionOCI,CurrentInspectionOCR,CurrentInspectionNotes,cgShape_Length,cgShape_Area,created_user,created_date,last_edited_user,last_edited_date,ZIP,ImpactFee,Account,Spraying,Trees,GlobalID,OBJECTID,Shape__Area,Shape__Length
El Pueblo Park,,1974,101 W Irvington Rd,Community Park,5,1,Mission Manor,COT Parks and Recreation,COT Parks and Recreation,https://www.tucsonaz.gov/Departments/Parks-and-Recreation/Parks/El-Pueblo-Park,,,,,,,,0,,Potable,Contractor All Inclusive,1,El Pueblo Park,1/1/2033 12:00:00 AM,Tucson,Park Sample,,1,,49.97,Average,49.4,Average,1/1/1974 12:00:00 AM,,,,Park Sample,,,,W Irvington Rd,158602.57,32.21,,0,101,,Daily,6 a.m.-10:30 p.m.,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85706,B,6343,,,6d3981aa-caf0-4d47-aa5b-4522a5ad04ef,1,1402992.72052002,5273.70147652403
Epes Randolph Plaza,,,Camino Campestre and Randolph Wy,Maintenance Responsibility,6,2,Reid,COT Transportation and Mobility ROW,COT Parks and Recreation,,,,1,Park Name,Epes Randolph,,,0,,,None,0,Epes Randolph Plaza,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,Camino Campestre and Randolph Wy,1747.7,0.65,,0,,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85716,A,6383,,,6c6dbfad-2dbe-4f73-9b99-d17bbad3f842,2,28268.6594848633,653.862593524455
Randolph Way,,,S Randolph Way,Maintenance Responsibility,6,2,Reid,COT Transportation and Mobility ROW,COT Parks and Recreation,,,,,,,,,0,,,Contractor All Inclusive,3,Randolph Way,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,S Randolph Wy,5932.61,0.7,,0,,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85716,A,6383,,,252a9877-23f0-4a74-9ae0-0c78e355f4fa,3,30677.5461730957,2745.51546168062
Randolph Park,,1925,200 S Alvernon Wy,Regional Park,6,2,Reid,COT Parks and Recreation,COT Parks and Recreation,https://www.tucsonaz.gov/Departments/Parks-and-Recreation/Parks/Randolph-Park,,,,,,,,0,1,Potable and Reclaimed,Contractor All Inclusive,3,Randolph Park,1/1/1984 12:00:00 AM,Tucson,Park Sample,,,,63.46,Good,0.5,Failed,1/1/1925 12:00:00 AM,,,,Park Sample,,,,S Alvernon Wy,189010.15,293.36,,0,200,,Daily,6 a.m.-10:30 p.m.,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85716,A,6383,,,3bab4650-1b3e-44ab-941b-8cb0f10b614c,4,12778821.0955505,18834.2299034533
Juhan Park,,1991,1770 W Copper St,Community Park,3,1,Jacobs,COT Parks and Recreation,COT Parks and Recreation,https://www.tucsonaz.gov/Departments/Parks-and-Recreation/Parks/Juhan-Park,,,,,,,,0,1,Potable and Reclaimed,Contractor Mow Only,7,Juhan Park,1/1/2050 12:00:00 AM,Tucson,Park Sample,,1,,50.77,Average,66.5,Good,1/1/1991 12:00:00 AM,,,,Park Sample,,,,W Copper St,76167.93,15.43,,0,1770,,Daily,6 a.m.-10:30 p.m.,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85745,A,6342,,,7b21be62-fa09-4dd6-a697-f4ca0961fc72,5,672284.666168213,3931.27571311201
Mansfield Park,,1950,2000 N 4th Av,Community Park,3,1,Jacobs,COT Parks and Recreation,COT Parks and Recreation,https://www.tucsonaz.gov/Departments/Parks-and-Recreation/Parks/Mansfield-Park,,,,,,,,0,1,Potable,Contractor Mow Only,7,Mansfield Park,1/1/2009 12:00:00 AM,Tucson,Park Sample,,1,,54.88,Average,25.4,Fair,1/1/1950 12:00:00 AM,,,,Park Sample,,,,N 4th Av,181338.18,20.75,,0,2000,,Daily,6 a.m.-10:30 p.m.,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85705,A,6342,,,ff8ca5ff-63b6-4244-bb57-37e8d582fdcb,6,903961.594146729,3773.52364985319
Palo Verde Park,,1960,425 S Mann Av,Community Park,2,3,Jesse Owens,COT Parks and Recreation,COT Parks and Recreation,https://www.tucsonaz.gov/Departments/Parks-and-Recreation/Parks/Palo-Verde-Park,,,,,,,,0,1,Potable and Reclaimed,Contractor Mow Only,7,Palo Verde Park,1/1/2019 12:00:00 AM,Tucson,Park Sample,,1,,66.13,Good,35.4,Fair,1/1/1960 12:00:00 AM,,,,Park Sample,,,,S Mann Av,247986.87,27.64,,0,425,,Daily,6 a.m.-10:30 p.m.,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85710,C,6383,,,3b227cfc-886d-441b-a316-c5ea8e415584,7,1204069.61727905,6470.30745444408
Purple Heart Park,Rita Ranch District Park,1989,9800 E Rita Rd,Community Park,4,3,Lincoln,COT Parks and Recreation,COT Parks and Recreation,https://www.tucsonaz.gov/Departments/Parks-and-Recreation/Parks/Purple-Heart-Park,,,,,,,,0,,Potable,Contractor Mow Only,7,Purple Heart Park,1/1/2048 12:00:00 AM,Tucson,Park Sample,,1,,68.78,Good,64.4,Good,1/1/1989 12:00:00 AM,,,,Park Sample,,,,E Rita Rd,260547.46,37.17,,0,9800,,Daily,6 a.m.-10:30 p.m.,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85747,C,6383,,,661a4f39-b47d-4cd5-98bb-5dff8755202e,8,1619002.78616333,5596.16278402382
Santa Cruz Park,,1978,1406 N Riverview Bl,Community Park,1,1,Kennedy,Arizona School for the Deaf and the Blind,COT Parks and Recreation,https://www.tucsonaz.gov/Departments/Parks-and-Recreation/Parks/Santa-Cruz-Park,,,,,,,,0,,Potable and Reclaimed,Contractor All Inclusive,3,Santa Cruz Park,1/1/2037 12:00:00 AM,Tucson,Park Sample,,1,,73.43,Good,53.5,Average,1/1/1978 12:00:00 AM,,,,Park Sample,,,,N Riverview Bl,31183.03,15.95,,0,1406,,Daily,6 a.m.-10:30 p.m.,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85745,B,6342,,,2afe72e1-00c8-4a04-a9cf-c1272355f9c3,9,694801.866424561,5183.23630676348
Santa Rita Park,,1962,401 E 22nd St,Community Park,5,2,Santa Rita,COT Parks and Recreation,COT Parks and Recreation,https://www.tucsonaz.gov/Departments/Parks-and-Recreation/Parks/Santa-Rita-Park,,,,,,,,0,1,Potable and Reclaimed,Contractor Mow Only,7,Santa Rita Park,1/1/2021 12:00:00 AM,Tucson,Park Sample,,1,,58.64,Average,37.4,Fair,1/1/1962 12:00:00 AM,,,,Park Sample,,,,E 22nd St,383056.94,22.6,,0,401,,Daily,7 a.m.-10:30 p.m.,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85701,B,6324,,,5c2c4d5e-68ee-4ad7-b445-6a417ae27a3b,10,984435.628479004,4459.87054689784
Mission Manor Park,,1966,6100 S 12th Av,Community Park,1,1,Mission Manor,COT Parks and Recreation and Tucson Water,COT Parks and Recreation,https://www.tucsonaz.gov/Departments/Parks-and-Recreation/Parks/Mission-Manor-Park,,,,,,,,0,1,Potable and Reclaimed,Contractor Mow Only,7,Mission Manor Park,1/1/2025 12:00:00 AM,Tucson,Park Sample,,1,,64.04,Good,41.4,Average,1/1/1966 12:00:00 AM,,,,Park Sample,,,,S 12th Av,337340.33,38.22,,0,5900,,Daily,6 a.m.-10:30 p.m.,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85706,B,6343,,,7005fa24-8676-42ab-b491-f46cd04be629,11,1664645.70797729,5134.53739759278
