X,Y,OBJECTID,SCH_TYPE,SCHCLASS,SCHNAME,ADDRESS,CITY,ZIP,PHONE,URL,SDISTNAME,LAT,LON,GlobalID,GRADELVL,last_edited_user,last_edited_date,created_user,created_date
978920.936679792,469823.493438318,1,PUBLIC,ELEMENTARY SCHOOL,CENTENNIAL ELEMENTARY SCHOOL,2200 W WETMORE RD,TUCSON,85705,520-696-8200,http://centennial.flowingwellsschools.org/,FLOWING WELLS UNIFIED SCHOOL DISTRICT,32.28840147,-111.01406008,{E6038CC2-7AD0-44B6-8689-05B732C04A22},K-6,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/22 16:47:10+00,,
1006392.43766404,456645.468832023,2,PUBLIC,MIDDLE SCHOOL,DOOLEN MIDDLE SCHOOL,2400 N COUNTRY CLUB RD,TUCSON,85716,520-232-6900,https://doolenms.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.25151501,-110.92556524,{2388E0BF-4103-4913-955F-0E66A6EAC15B},6-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 09:23:20+00,,
971162.410104986,417914.74442257,3,PUBLIC,ELEMENTARY SCHOOL,WARREN ELEMENTARY SCHOOL,3505 W MILTON RD,TUCSON,85746,520-908-4700,https://warrenes.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.14590172,-111.04053402,{FD232838-809B-4E0D-8013-4797919F1277},K-5,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:51+00,,
963101.427165356,475001.68405512,4,CHARTER,OTHER,ACCELERATED LEARNING LABORATORY,5245 N CAMINO DE OESTE,TUCSON,85745,520-743-1113,https://www.allaccelerated.org/,,32.30298976,-111.06511499,{F9EDF1C1-6181-41B8-83CE-EC16DCE868F3},K-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/22 15:48:13+00,,
998169.836942255,461520.075787403,5,CHARTER,ELEMENTARY SCHOOL,MONTESSORI SCHOOLHOUSE,1301 E FORT LOWELL RD,TUCSON,85719,520-319-8668,https://themontessorischoolhouse.com/,,32.26511881,-110.95201828,{AE17986E-45DE-46A2-9845-0D29A95622EB},K-5,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:50+00,,
1042765.68700787,446089.25,6,CHARTER,ELEMENTARY SCHOOL,CASA NINOS SCHOOL OF MONTESSORI,8655 E BROADWAY BL,TUCSON,85710,520-751-1454,http://www.casaninos.org,,32.22152458,-110.8082773,{88AA4CA7-AE9C-4695-93EF-5D7A639179BE},PK-5,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/22 16:45:37+00,,
992247.058727033,421536.624343835,7,PUBLIC,MIDDLE SCHOOL,APOLLO MIDDLE SCHOOL,265 W NEBRASKA ST,TUCSON,85706,520-545-4500,https://www.susd12.org/apollo,SUNNYSIDE UNIFIED SCHOOL DISTRICT,32.15536687,-110.97231399,{A740C87D-CF2F-4459-8266-75CA5A6503C2},7-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/22 16:18:21+00,,
1041145.80446194,442671.567585304,8,PUBLIC,ELEMENTARY SCHOOL,HAROLD STEELE ELEMENTARY SCHOOL,700 S SARNOFF DR,TUCSON,85710,520-731-6800,https://steelees.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.21217717,-110.81362805,{1264E624-D225-4360-ABA7-1487E287582A},PK-5,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 10:38:07+00,,
990151.297900263,431361.094488189,9,PUBLIC,HIGH SCHOOL,PUEBLO HIGH SCHOOL,3500 S 12TH AV,TUCSON,85713,520-225-4302,https://pueblohs.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.18242058,-110.97880869,{E06C97C7-41F4-4310-BF1A-34EE5895A16C},9-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:51+00,,
991789.145997375,451436.771981627,10,PUBLIC,POSTSECONDARY SCHOOL,PIMA COMMUNITY COLLEGE DOWNTOWN CAMPUS,1255 N STONE AV,TUCSON,85709,520-409-6413,https://www.catholic.edu/tucson/index.html,,32.2375604,-110.97294558,{A8DE467D-C01C-4EA8-9D6C-88B753EFFF95},,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/11/02 16:48:13+00,,
